x-axis,1,2,3
second,Volt,Volt,Volt
+53.700E-03,+1.593750E+00,+2.581250E+00,+2.237500E+00
+53.800E-03,+1.968750E+00,+2.050000E+00,+1.737500E+00
+53.900E-03,+2.531250E+00,+1.675000E+00,+1.581250E+00
+54.000E-03,+3.031250E+00,+1.675000E+00,+1.737500E+00
+54.100E-03,+3.281250E+00,+1.956250E+00,+2.175000E+00
+54.200E-03,+3.187500E+00,+2.425000E+00,+2.800000E+00
+54.300E-03,+2.718750E+00,+2.893750E+00,+3.206250E+00
+54.400E-03,+2.187500E+00,+3.206250E+00,+3.300000E+00
+54.500E-03,+1.687500E+00,+3.206250E+00,+3.081250E+00
+54.600E-03,+1.531250E+00,+2.831250E+00,+2.581250E+00
+54.700E-03,+1.750000E+00,+2.300000E+00,+2.018750E+00
+54.800E-03,+2.281250E+00,+1.831250E+00,+1.643750E+00
+54.900E-03,+2.843750E+00,+1.643750E+00,+1.643750E+00
+55.000E-03,+3.218750E+00,+1.800000E+00,+1.987500E+00
+55.100E-03,+3.250000E+00,+2.206250E+00,+2.487500E+00
+55.200E-03,+3.000000E+00,+2.706250E+00,+3.018750E+00
+55.300E-03,+2.406250E+00,+3.112500E+00,+3.300000E+00
+55.400E-03,+1.875000E+00,+3.206250E+00,+3.175000E+00
+55.500E-03,+1.500000E+00,+3.018750E+00,+2.737500E+00
+55.600E-03,+1.656250E+00,+2.518750E+00,+2.175000E+00
+55.700E-03,+2.062500E+00,+1.987500E+00,+1.768750E+00
+55.800E-03,+2.656250E+00,+1.675000E+00,+1.643750E+00
+55.900E-03,+3.125000E+00,+1.706250E+00,+1.831250E+00
+56.000E-03,+3.281250E+00,+2.050000E+00,+2.331250E+00
+56.100E-03,+3.062500E+00,+2.550000E+00,+2.831250E+00
+56.200E-03,+2.531250E+00,+2.987500E+00,+3.237500E+00
+56.300E-03,+2.000000E+00,+3.206250E+00,+3.206250E+00
+56.400E-03,+1.562500E+00,+3.050000E+00,+2.925000E+00
+56.500E-03,+1.562500E+00,+2.643750E+00,+2.300000E+00
+56.600E-03,+1.968750E+00,+2.143750E+00,+1.862500E+00
+56.700E-03,+2.500000E+00,+1.768750E+00,+1.643750E+00
+56.800E-03,+3.031250E+00,+1.706250E+00,+1.768750E+00
+56.900E-03,+3.312500E+00,+1.956250E+00,+2.206250E+00
+57.000E-03,+3.156250E+00,+2.393750E+00,+2.768750E+00
+57.100E-03,+2.593750E+00,+2.925000E+00,+3.143750E+00
+57.200E-03,+2.031250E+00,+3.175000E+00,+3.206250E+00
+57.300E-03,+1.625000E+00,+3.081250E+00,+2.956250E+00
+57.400E-03,+1.562500E+00,+2.706250E+00,+2.393750E+00
+57.500E-03,+1.906250E+00,+2.237500E+00,+1.925000E+00
+57.600E-03,+2.500000E+00,+1.831250E+00,+1.643750E+00
+57.700E-03,+3.031250E+00,+1.737500E+00,+1.768750E+00
+57.800E-03,+3.312500E+00,+1.956250E+00,+2.206250E+00
+57.900E-03,+3.156250E+00,+2.393750E+00,+2.706250E+00
+58.000E-03,+2.687500E+00,+2.862500E+00,+3.143750E+00
+58.100E-03,+2.031250E+00,+3.143750E+00,+3.206250E+00
+58.200E-03,+1.625000E+00,+3.081250E+00,+2.956250E+00
+58.300E-03,+1.562500E+00,+2.675000E+00,+2.456250E+00
+58.400E-03,+1.875000E+00,+2.237500E+00,+1.956250E+00
+58.500E-03,+2.437500E+00,+1.862500E+00,+1.675000E+00
+58.600E-03,+3.093750E+00,+1.768750E+00,+1.768750E+00
+58.700E-03,+3.281250E+00,+1.956250E+00,+2.175000E+00
+58.800E-03,+3.187500E+00,+2.362500E+00,+2.706250E+00
+58.900E-03,+2.656250E+00,+2.893750E+00,+3.112500E+00
+59.000E-03,+2.000000E+00,+3.143750E+00,+3.175000E+00
+59.100E-03,+1.593750E+00,+3.050000E+00,+2.925000E+00
+59.200E-03,+1.562500E+00,+2.675000E+00,+2.425000E+00
